id,id_aziende,id_fornitori,codice,codice_ufficiale,codice_alternativo_ufficiale,nome,nome_eng,descrizione,descrizione_eng,descrizione_estesa,descrizione_estesa_eng,meta_title,meta_title_eng,meta_description,meta_description_eng,produttore,originale,parte_sportiva,memorabilia,descrizione_tecnica,immagine,galleria,id_brand,prezzo,esente_iva,richiesta_preventivo,quantita_min,quantita_confezione,unita,iva,accise,importo_minimo,sconto_base1,sconto_base2,sconto_base3,sconto_applicato,categoria_merceologica,tipologia,id_varianti_set_tipologie,disponibilita,ordinabile,forza_immagini,attivo,tag,quantita,id_materiali,anno_produzione,taglia,peso,altezza,larghezza,lunghezza,condizioni_ricambio,stato,data_inserimento,data_modifica,data_rimozione,data_vendita,aziende,fornitori,brand,varianti_set_tipologie,materiali
9352,181,181,1.75E+12,07L121011J,,Pompa acqua Lamborghini Gallardo,Lamborghini Gallardo water pump,Pompa acqua Lamborghini Gallardo,Lamborghini Gallardo water pump,Pompa acqua Lamborghini Gallardo,Lamborghini Gallardo water pump,,,,,Lamborghini,1,0,0,,_dsc0112-nobg.png,"_dsc0112.jpg,_dsc0113.jpg",,500,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,0,0,0,0,usato,bozza,31/07/25 17:18,05/08/25 11:17,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9353,181,181,1.75E+12,1218770,,Motorino avviamento Lamborghini Murcielago,Lamborghini Murcielago Starter Motor,Motorino avviamento Lamborghini Murcielago,Lamborghini Murcielago Starter Motor,Motorino avviamento Lamborghini Murcielago,Lamborghini Murcielago Starter Motor,,,,,Lamborghini,1,0,0,,_dsc0118-nobg.png,"_dsc0118.jpg,_dsc0119.jpg,_dsc0120.jpg,_dsc0121.jpg,_dsc0122.jpg",,900,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,0,0,0,0,usato,bozza,31/07/25 17:18,01/08/25 11:46,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9354,181,181,1.75E+12,400251052,,Lamborghini Gallardo silenziatore,Lamborghini Gallardo muffler,Lamborghini Gallardo silenziatore,Lamborghini Gallardo muffler,Lamborghini Gallardo silenziatore,Lamborghini Gallardo muffler,,,,,Lamborghini,1,0,0,,,,,2000,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,2,,,,,,,,usato,bozza,31/07/25 17:18,01/08/25 03:00,,,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9356,181,181,1.75E+12,32016285,,Dischi Lamborghini Diablo e Lamborghini Murcielago posteriori,Lamborghini Diablo and Lamborghini Murcielago rear discs,Dischi Lamborghini Diablo e Lamborghini Murcielago posteriori,Lamborghini Diablo and Lamborghini Murcielago rear discs,Dischi Lamborghini Diablo e Lamborghini Murcielago posteriori,Lamborghini Diablo and Lamborghini Murcielago rear discs,,,,,Lamborghini,1,0,0,,dischi_lambo_2-nobg.png,"dischi_lambo_2.jpg,dischi_lambo_2_2.jpg",,2600,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,0,10,10,10,nuovo epoca,archiviato,31/07/25 17:18,05/08/25 03:52,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9357,181,181,1.75E+12,07L105269H,,E Gear per Lamborghini Gallardo,E Gear for Lamborghini Gallardo,E Gear per Lamborghini Gallardo,E Gear for Lamborghini Gallardo,E Gear per Lamborghini Gallardo,E Gear for Lamborghini Gallardo,,,,,Lamborghini,1,0,0,,_dsc0133-nobg.png,"_dsc0133.jpg,_dsc0134.jpg,_dsc0135.jpg,_dsc0136.jpg,_dsc0137.jpg,_dsc0138.jpg",,3000,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,0,0,0,0,nuovo epoca,bozza,31/07/25 17:18,01/08/25 11:51,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9358,181,181,1.75E+12,420251303,,Supporti silenziatore Audi R8 e Lamborghini Gallardo,Audi R8 and Lamborghini Gallardo muffler supports,Supporti silenziatore Audi R8 e Lamborghini Gallardo,Audi R8 and Lamborghini Gallardo muffler supports,Supporti silenziatore Audi R8 e Lamborghini Gallardo,Audi R8 and Lamborghini Gallardo muffler supports,,,,,Lamborghini,1,0,0,,_dsc0160-nobg.png,"_dsc0160.jpg,_dsc0161.jpg,_dsc0162.jpg,_dsc0163.jpg,_dsc0164.jpg,_dsc0165.jpg,_dsc0166.jpg,_dsc0167.jpg",,30,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,4,,,,0,0,0,0,nuovo epoca,bozza,31/07/25 17:18,01/08/25 11:52,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9359,181,181,1.75E+12,07M105255D,,Pulley per Lamborghini Murcielago,Pulley for Lamborghini Murcielago,Pulley per Lamborghini Murcielago,Pulley for Lamborghini Murcielago,Pulley per Lamborghini Murcielago,Pulley for Lamborghini Murcielago,,,,,Lamborghini,1,0,0,,_dsc0146-nobg.png,"_dsc0146.jpg,_dsc0145.jpg,_dsc0147.jpg,_dsc0148.jpg,_dsc0142.jpg,_dsc0143.jpg,_dsc0144.jpg",,300,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,0,0,0,0,usato,bozza,31/07/25 17:18,01/08/25 11:53,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9367,181,181,1.75E+12,400906018a,,ECU per Lamborghini Gallardo (verificare funzionamento e codice),ECU for Lamborghini Gallardo,ECU per Lamborghini Gallardo,ECU for Lamborghini Gallardo,ECU per Lamborghini Gallardo,ECU for Lamborghini Gallardo,,,,,Lamborghini,1,0,0,,,,,1100,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,0,0,0,0,usato,bozza,31/07/25 17:18,01/08/25 09:57,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9365,181,181,1.75E+12,,,Triangolo Lamborghini,Lamborghini Triangle,Triangolo Lamborghini,Lamborghini Triangle,Triangolo Lamborghini,Lamborghini Triangle,,,,,Lamborghini,1,0,0,,_dsc0233-nobg.png,"_dsc0233.jpg,_dsc0230.jpg,_dsc0231.jpg,_dsc0232.jpg,_dsc0234.jpg",,50,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,2,,,,0,0,0,0,nuovo epoca,bozza,31/07/25 17:18,01/08/25 12:06,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9366,181,181,1.75E+12,400407506,,Braccetto superiore DX e SX Lamborghini Gallardo,Upper control arm LH and RH Lamborghini Gallardo,Braccetto superiore DX e SX Lamborghini Gallardo,Upper control arm LH and RH Lamborghini Gallardo,Braccetto superiore DX e SX Lamborghini Gallardo,Upper control arm LH and RH Lamborghini Gallardo,,,,,Lamborghini,1,0,0,,_dsc0249-nobg.png,"_dsc0249.jpg,_dsc0248.jpg,_dsc0250.jpg,_dsc0251.jpg,_dsc0252.jpg,_dsc0253.jpg,_dsc0254.jpg",,1700,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,0,0,0,0,usato,bozza,31/07/25 17:18,01/08/25 12:02,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9364,181,181,1.75E+12,,,Kit pronto soccorso Lamborghini (SCADUTO),Lamborghini First Aid Kit (EXPIRED),Kit pronto soccorso Lamborghini (SCADUTO),Lamborghini First Aid Kit (EXPIRED),Kit pronto soccorso Lamborghini (SCADUTO),Lamborghini First Aid Kit (EXPIRED),,,,,Lamborghini,1,0,0,,_dsc0227-nobg.png,"_dsc0227.jpg,_dsc0228.jpg,_dsc0226.jpg",,100,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,0,0,0,0,nuovo epoca,bozza,31/07/25 17:18,05/08/25 11:17,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9360,181,181,1.75E+12,07M251717L,,Catalizzatori Lamborghini Murcielago,Lamborghini Murcielago Catalytic Converters,Catalizzatori Lamborghini Murcielago,Lamborghini Murcielago Catalytic Converters,Catalizzatori Lamborghini Murcielago,Lamborghini Murcielago Catalytic Converters,,,,,Lamborghini,1,0,0,,_dsc0173-nobg.png,"_dsc0173.jpg,_dsc0168.jpg,_dsc0169.jpg,_dsc0170.jpg,_dsc0171.jpg,_dsc0172.jpg",,4000,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,0,0,0,0,usato,bozza,31/07/25 17:18,01/08/25 11:55,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9365,181,181,1.75E+12,,,Triangolo Lamborghini,Lamborghini Triangle,Triangolo Lamborghini,Lamborghini Triangle,Triangolo Lamborghini,Lamborghini Triangle,,,,,Lamborghini,1,0,0,,_dsc0233-nobg.png,"_dsc0233.jpg,_dsc0230.jpg,_dsc0231.jpg,_dsc0232.jpg,_dsc0234.jpg",,50,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,2,,,,0,0,0,0,nuovo epoca,bozza,31/07/25 17:18,01/08/25 12:06,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9366,181,181,1.75E+12,400407506,,Braccetto superiore DX e SX Lamborghini Gallardo,Upper control arm LH and RH Lamborghini Gallardo,Braccetto superiore DX e SX Lamborghini Gallardo,Upper control arm LH and RH Lamborghini Gallardo,Braccetto superiore DX e SX Lamborghini Gallardo,Upper control arm LH and RH Lamborghini Gallardo,,,,,Lamborghini,1,0,0,,_dsc0249-nobg.png,"_dsc0249.jpg,_dsc0248.jpg,_dsc0250.jpg,_dsc0251.jpg,_dsc0252.jpg,_dsc0253.jpg,_dsc0254.jpg",,1700,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,0,0,0,0,usato,bozza,31/07/25 17:18,01/08/25 12:02,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9367,181,181,1.75E+12,400906018a,,ECU per Lamborghini Gallardo (verificare funzionamento e codice),ECU for Lamborghini Gallardo,ECU per Lamborghini Gallardo,ECU for Lamborghini Gallardo,ECU per Lamborghini Gallardo,ECU for Lamborghini Gallardo,,,,,Lamborghini,1,0,0,,,,,1100,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,0,0,0,0,usato,bozza,31/07/25 17:18,01/08/25 09:57,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9368,181,181,1.75E+12,400906018,,Control unit Lamborghini Gallardo (verificare funzionamento e codice),Lamborghini Gallardo control unit,Control unit Lamborghini Gallardo,Lamborghini Gallardo control unit,Control unit Lamborghini Gallardo,Lamborghini Gallardo control unit,,,,,Lamborghini,1,0,0,,,,,800,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,0,0,0,0,usato,bozza,31/07/25 17:18,01/08/25 09:58,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9369,181,181,1.75E+12,400906018b,,Control unit Lamborghini Gallardo (verificare funzionamento e codice),Lamborghini Gallardo control unit,Control unit Lamborghini Gallardo,Lamborghini Gallardo control unit,Control unit Lamborghini Gallardo,Lamborghini Gallardo control unit,,,,,Lamborghini,1,0,0,,,,,900,0,0,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,0,0,0,0,usato,bozza,31/07/25 17:18,01/08/25 09:58,0000-00-00 00:00:00,0000-00-00 00:00:00,"MatchingNumber
<br>(<i>Seller Pro 181</i>)",,,,
9331,320,320,1.75E+12,,,Molle ammortizzatori Ant e Post Lamborghini Miura,Lamborghini Miura Front and Rear Shock Absorber Springs,Molle ammortizzatori Ant e Post Lamborghini Miura,Lamborghini Miura Front and Rear Shock Absorber Springs,Molle ammortizzatori Ant e Post Lamborghini Miura,Lamborghini Miura Front and Rear Shock Absorber Springs,,,,,Lamborghini,1,0,0,,img_2651_large-nobg.png,"img_2651_large.jpeg,img_2654_large.jpeg,img_2653_large.jpeg,img_2652_large.jpeg",,1,0,1,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,2,30,20,20,usato,pubblicato,31/07/25 11:21,07/08/25 10:55,0000-00-00 00:00:00,0000-00-00 00:00:00,"Imperiale Sport Cars
<br>(<i>SellerPro321</i>)",,,,
9330,320,320,1.75E+12,,,Set Completo Sospensioni Lamborghini Diablo,Lamborghini Diablo Complete Suspension Kit,Set Completo Sospensioni per Lamborghini Diablo,Lamborghini Diablo Complete Suspension Kit,Set Completo Sospensioni anteriori e posteriori originali per Lamborghini Diablo,Lamborghini Diablo Complete Suspension Kit,,,,,Lamborghini,1,0,0,,5471ae3dcd99442ea96322461-nobg.png,"5471ae3dcd99442ea96322461.jpeg,5234213071f6408595d38949c.jpeg,9732d98d70a24dc69edd0e285.jpeg,b57f3f39c1144c37bdcc3271b.jpeg",,1,0,1,1,1,,,,,,,,,,semplice,,0,1,0,1,,2,,,,10,40,40,40,usato,pubblicato,31/07/25 11:21,31/07/25 17:23,0000-00-00 00:00:00,0000-00-00 00:00:00,"Imperiale Sport Cars
<br>(<i>SellerPro321</i>)",,,,
9329,320,320,1.75E+12,,,Radiatore Olio Lamborghini Diablo,Lamborghini Diablo Oil Radiator,Radiatore Olio per Lamborghini Diablo,Lamborghini Diablo Oil Radiator,Radiatore Olio originale per Lamborghini Diablo,Lamborghini Diablo Oil Radiator,,,,,Lamborghini,1,0,0,,img_7577-nobg.png,"img_7577.jpeg,img_7578.jpeg,img_7579.jpeg",,1,0,1,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,20,50,40,50,usato,pubblicato,31/07/25 11:21,31/07/25 17:21,0000-00-00 00:00:00,0000-00-00 00:00:00,"Imperiale Sport Cars
<br>(<i>SellerPro321</i>)",,,,
9328,320,320,1.75E+12,,,Radiatore Lamborghini Diablo,Lamborghini Diablo Radiator,Radiatore Lamborghini Diablo,Lamborghini Diablo Radiator,Radiatore Lamborghini Diablo,Lamborghini Diablo Radiator,,,,,Lamborghini,1,0,0,,img_2695_large-nobg.png,"img_2695_large.jpeg,img_2697_large.jpeg,img_2696_large.jpeg",,1,0,1,1,1,,,,,,,,,,semplice,,0,1,0,1,,2,,,,10,50,70,20,usato,pubblicato,31/07/25 11:21,07/08/25 13:06,0000-00-00 00:00:00,0000-00-00 00:00:00,"Imperiale Sport Cars
<br>(<i>SellerPro321</i>)",,,,
9327,320,320,1.75E+12,,,Motore Fari a Scomparsa Lamborghini Diablo,Lamborghini Diablo Pop-Up Headlight Engine,Motore Fari a Scomparsa Lamborghini Diablo,Lamborghini Diablo Pop-Up Headlight Engine,Motore Fari a Scomparsa Lamborghini Diablo,Lamborghini Diablo Pop-Up Headlight Engine,,,,,Lamborghini,1,0,0,,img_7576-nobg.png,"img_7576.jpeg,img_7575.jpeg,img_7574.jpeg",,1,0,1,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,2,20,30,20,usato,pubblicato,31/07/25 11:21,05/08/25 17:32,0000-00-00 00:00:00,0000-00-00 00:00:00,"Imperiale Sport Cars
<br>(<i>SellerPro321</i>)",,,,
9326,320,320,1.75E+12,,,Semiasse Posteriore Lamborghini Diablo,Lamborghini Diablo Rear Axle Shaft,Semiasse Posteriore Lamborghini Diablo,Lamborghini Diablo Rear Axle Shaft,Semiasse Posteriore Lamborghini Diablo,Lamborghini Diablo Rear Axle Shaft,,,,,Lamborghini,1,0,0,,img_2640_large-nobg.png,"img_2640_large.jpeg,img_2643_large.jpeg,img_2642_large.jpeg,img_2641_large.jpeg",,1,0,1,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,10,20,20,100,usato,pubblicato,31/07/25 11:21,07/08/25 13:12,0000-00-00 00:00:00,0000-00-00 00:00:00,"Imperiale Sport Cars
<br>(<i>SellerPro321</i>)",,,,
9325,320,320,1.75E+12,,,Semiassi Anteriori Lamborghini Diablo,Lamborghini Diablo Front Axle Shafts,Semiassi Anteriori Lamborghini Diablo,Lamborghini Diablo Front Axle Shafts,Semiassi Anteriori Lamborghini Diablo,Lamborghini Diablo Front Axle Shafts,,,,,Lamborghini,1,0,0,,,,,1,0,1,1,1,,,,,,,,,,semplice,,0,1,0,1,,1,,,,5,20,20,60,usato,bozza,31/07/25 11:21,31/07/25 13:00,,,"Imperiale Sport Cars
<br>(<i>SellerPro321</i>)",,,,
